speaker_variety,condition,sentence_type,sentence,nsyll,npause,sentence_dur,phonationtime (s),speech_rate,articulation_rate,avg_syll_dur
andalusian,match,declarative-broad-focus,Ana lleva el abrigo,6,0,1.35,1.35,4.45,4.45,0.225
andalusian,match,declarative-broad-focus,Daniel iba a Bolivia,6,0,1.46,1.46,4.11,4.11,0.243
andalusian,match,declarative-broad-focus,David leia el libro,7,0,1.43,1.43,4.9,4.9,0.204
andalusian,match,declarative-broad-focus,Emilio ama la marcha,4,0,1.27,1.27,3.16,3.16,0.317
andalusian,match,declarative-broad-focus,Manuela vende el carro,2,0,1.25,1.25,1.61,1.61,0.623
andalusian,match,declarative-broad-focus,Maria bebe el vino,3,0,1.11,1.11,2.71,2.71,0.369
andalusian,match,declarative-broad-focus,Mariano habla del tiempo,4,0,1.57,1.57,2.54,2.54,0.393
andalusian,match,declarative-broad-focus,Marta abre el regalo,5,0,1.39,1.39,3.6,3.6,0.278
andalusian,match,declarative-narrow-focus,Ana lleva el abrigo,7,0,1.29,1.29,5.44,5.44,0.184
andalusian,match,declarative-narrow-focus,Daniel iba a Bolivia,5,0,1.31,1.31,3.81,3.81,0.262
andalusian,match,declarative-narrow-focus,David leia el libro,5,0,1.45,1.45,3.45,3.45,0.29
andalusian,match,declarative-narrow-focus,Emilio ama la marcha,4,0,1.48,1.48,2.71,2.71,0.369
andalusian,match,declarative-narrow-focus,Manuela vende el carro,4,0,1.45,1.45,2.76,2.76,0.362
andalusian,match,declarative-narrow-focus,Maria bebe el vino,6,0,1.34,1.34,4.47,4.47,0.224
andalusian,match,declarative-narrow-focus,Mariano habla del tiempo,5,0,1.64,1.64,3.05,3.05,0.327
andalusian,match,declarative-narrow-focus,Marta abre el regalo,5,0,1.45,1.45,3.45,3.45,0.29
andalusian,match,interrogative-partial-wh,Cuando bebia el vino,5,0,1.27,1.27,3.94,3.94,0.254
andalusian,match,interrogative-partial-wh,Cuando leia el libro,5,0,1.31,1.31,3.81,3.81,0.263
andalusian,match,interrogative-partial-wh,Cuando lleva el abrigo,5,0,1.21,1.21,4.15,4.15,0.241
andalusian,match,interrogative-partial-wh,Cuando vendia el carro,6,0,1.3,1.3,4.62,4.62,0.217
andalusian,match,interrogative-partial-wh,Por que abre el regalo,5,0,1.21,1.21,4.15,4.15,0.241
andalusian,match,interrogative-partial-wh,Por que ama la navidad,5,0,1.33,1.33,3.77,3.77,0.265
andalusian,match,interrogative-partial-wh,Por que hablaba del agua,3,0,1.27,1.27,2.36,2.36,0.424
andalusian,match,interrogative-partial-wh,Por que iba a Bolivia,5,0,1.23,1.23,4.06,4.06,0.247
andalusian,match,interrogative-total-yn,Ana lleva el abrigo,6,0,1.22,1.22,4.92,4.92,0.203
andalusian,match,interrogative-total-yn,Daniel iba a Bolivia,6,0,1.34,1.34,4.48,4.48,0.223
andalusian,match,interrogative-total-yn,David leia el libro,5,0,1.25,1.25,4.01,4.01,0.249
andalusian,match,interrogative-total-yn,Emilio ama la marcha,5,0,1.38,1.38,3.62,3.62,0.276
andalusian,match,interrogative-total-yn,Manuela vende el carro,5,0,1.33,1.33,3.77,3.77,0.265
andalusian,match,interrogative-total-yn,Maria bebe el vino,4,0,1.15,1.15,3.47,3.47,0.288
andalusian,match,interrogative-total-yn,Mariano habla del tiempo,5,0,1.6,1.6,3.13,3.13,0.319
andalusian,match,interrogative-total-yn,Marta abre el regalo,4,0,1.26,1.26,3.18,3.18,0.315
andalusian,mismatch,declarative-broad-focus,El bebe comia muy bien,7,0,1.33,1.33,5.28,5.28,0.19
andalusian,mismatch,declarative-broad-focus,El hombre mira la luna,3,0,1.25,1.25,2.41,2.41,0.415
andalusian,mismatch,declarative-broad-focus,El nino oye el rio,3,0,1.33,1.33,2.26,2.26,0.442
andalusian,mismatch,declarative-broad-focus,La maestra vive en Paris,6,0,1.44,1.44,4.17,4.17,0.24
andalusian,mismatch,declarative-broad-focus,La nina lava el plato,4,0,1.21,1.21,3.32,3.32,0.301
andalusian,mismatch,declarative-broad-focus,Mi madre come la fruta,7,0,1.31,1.31,5.33,5.33,0.188
andalusian,mismatch,declarative-broad-focus,Mi novio viene del lago,5,0,1.48,1.48,3.39,3.39,0.295
andalusian,mismatch,declarative-broad-focus,Mi tia odia la lluvia,5,0,1.36,1.36,3.67,3.67,0.273
andalusian,mismatch,declarative-narrow-focus,El bebe comia muy bien,6,0,1.31,1.31,4.57,4.57,0.219
andalusian,mismatch,declarative-narrow-focus,El hombre mira la luna,6,0,1.33,1.33,4.5,4.5,0.222
andalusian,mismatch,declarative-narrow-focus,El nino oye el rio,3,0,1.26,1.26,2.38,2.38,0.42
andalusian,mismatch,declarative-narrow-focus,La maestra vive en Paris,7,0,1.19,1.19,5.89,5.89,0.17
andalusian,mismatch,declarative-narrow-focus,La nina lava el plato,4,0,1.41,1.41,2.85,2.85,0.351
andalusian,mismatch,declarative-narrow-focus,Mi madre come la fruta,7,0,1.38,1.04,5.07,6.71,0.149
andalusian,mismatch,declarative-narrow-focus,Mi novio viene del lago,6,0,1.21,1.21,4.96,4.96,0.202
andalusian,mismatch,declarative-narrow-focus,Mi tia odia la lluvia,6,0,1.36,1.36,4.4,4.4,0.227
andalusian,mismatch,interrogative-partial-wh,Cuando comia la fruta,4,0,1.45,1.45,2.76,2.76,0.362
andalusian,mismatch,interrogative-partial-wh,Cuando lavaba el plato,5,0,1.28,1.28,3.9,3.9,0.256
andalusian,mismatch,interrogative-partial-wh,Cuando miraba la luna,2,0,1.33,1.33,1.51,1.51,0.664
andalusian,mismatch,interrogative-partial-wh,Por que desayuna muy bien,5,0,1.4,1.4,3.57,3.57,0.28
andalusian,mismatch,interrogative-partial-wh,Por que odiaba la lluvia,5,0,1.31,1.31,3.81,3.81,0.262
andalusian,mismatch,interrogative-partial-wh,Por que oia el rio,5,0,1.27,1.27,3.93,3.93,0.254
andalusian,mismatch,interrogative-partial-wh,Por que venia del lago,4,0,1.29,1.29,3.1,3.1,0.323
andalusian,mismatch,interrogative-partial-wh,Por que vivia en Paris,5,0,1.17,1.17,4.27,4.27,0.234
andalusian,mismatch,interrogative-total-yn,El bebe comia muy bien,5,0,1.33,1.33,3.76,3.76,0.266
andalusian,mismatch,interrogative-total-yn,El hombre mira la luna,6,0,1.32,1.32,4.55,4.55,0.22
andalusian,mismatch,interrogative-total-yn,El nino oye el rio,5,0,1.52,1.52,3.28,3.28,0.305
andalusian,mismatch,interrogative-total-yn,La maestra vive en Paris,6,0,1.37,1.37,4.39,4.39,0.228
andalusian,mismatch,interrogative-total-yn,La nina lava el plato,4,0,1.41,1.41,2.83,2.83,0.353
andalusian,mismatch,interrogative-total-yn,Mi madre come la fruta,6,0,1.36,1.36,4.42,4.42,0.226
andalusian,mismatch,interrogative-total-yn,Mi novio viene del lago,4,0,1.42,1.42,2.81,2.81,0.355
andalusian,mismatch,interrogative-total-yn,Mi tia odia la lluvia,5,0,1.48,1.48,3.39,3.39,0.295
argentine,match,declarative-broad-focus,Ana lleva el abrigo,5,0,1.1,1.1,4.56,4.56,0.219
argentine,match,declarative-broad-focus,Daniel iba a Bolivia,4,0,1.35,1.35,2.96,2.96,0.338
argentine,match,declarative-broad-focus,David leia el libro,6,0,1.34,1.34,4.48,4.48,0.223
argentine,match,declarative-broad-focus,Emilio ama la marcha,6,0,1.38,1.38,4.35,4.35,0.23
argentine,match,declarative-broad-focus,Manuela vende el carro,4,0,1.38,1.38,2.89,2.89,0.346
argentine,match,declarative-broad-focus,Maria bebe el vino,5,0,1.12,1.12,4.47,4.47,0.224
argentine,match,declarative-broad-focus,Mariano habla del tiempo,5,0,1.28,1.28,3.92,3.92,0.255
argentine,match,declarative-broad-focus,Marta abre el regalo,7,0,1.36,1.36,5.14,5.14,0.194
argentine,match,declarative-narrow-focus,Ana lleva el abrigo,5,0,1.16,1.16,4.3,4.3,0.233
argentine,match,declarative-narrow-focus,Daniel iba a Bolivia,3,0,1.27,1.27,2.37,2.37,0.423
argentine,match,declarative-narrow-focus,David leia el libro,4,0,1.13,1.13,3.54,3.54,0.283
argentine,match,declarative-narrow-focus,Emilio ama la marcha,5,0,1.38,1.38,3.63,3.63,0.276
argentine,match,declarative-narrow-focus,Manuela vende el carro,4,0,1.5,1.5,2.66,2.66,0.376
argentine,match,declarative-narrow-focus,Maria bebe el vino,5,0,1.22,1.22,4.09,4.09,0.245
argentine,match,declarative-narrow-focus,Mariano habla del tiempo,5,0,1.45,1.45,3.44,3.44,0.291
argentine,match,declarative-narrow-focus,Marta abre el regalo,5,0,1.31,1.31,3.83,3.83,0.261
argentine,match,interrogative-partial-wh,Cuando bebia el vino,5,0,1.14,1.14,4.38,4.38,0.228
argentine,match,interrogative-partial-wh,Cuando leia el libro,4,0,1.09,1.09,3.66,3.66,0.273
argentine,match,interrogative-partial-wh,Cuando lleva el abrigo,4,0,1.21,1.21,3.3,3.3,0.303
argentine,match,interrogative-partial-wh,Cuando vendia el carro,4,0,1.11,1.11,3.59,3.59,0.278
argentine,match,interrogative-partial-wh,Por que abre el regalo,3,0,1.16,1.16,2.59,2.59,0.386
argentine,match,interrogative-partial-wh,Por que ama la navidad,5,0,1.26,1.26,3.98,3.98,0.251
argentine,match,interrogative-partial-wh,Por que hablaba del agua,6,0,1.36,1.36,4.43,4.43,0.226
argentine,match,interrogative-partial-wh,Por que iba a Bolivia,4,0,1.11,1.11,3.59,3.59,0.278
argentine,match,interrogative-total-yn,Ana lleva el abrigo,4,0,1.34,1.34,2.97,2.97,0.336
argentine,match,interrogative-total-yn,Daniel iba a Bolivia,3,0,1.41,1.41,2.13,2.13,0.468
argentine,match,interrogative-total-yn,David leia el libro,5,0,1.32,1.32,3.78,3.78,0.265
argentine,match,interrogative-total-yn,Emilio ama la marcha,7,0,1.58,1.58,4.43,4.43,0.226
argentine,match,interrogative-total-yn,Manuela vende el carro,4,0,1.45,1.45,2.76,2.76,0.362
argentine,match,interrogative-total-yn,Maria bebe el vino,4,0,1.26,1.26,3.17,3.17,0.316
argentine,match,interrogative-total-yn,Mariano habla del tiempo,5,0,1.51,1.51,3.31,3.31,0.302
argentine,match,interrogative-total-yn,Marta abre el regalo,6,0,1.34,1.34,4.48,4.48,0.223
argentine,mismatch,declarative-broad-focus,El bebe comia muy bien,4,0,1.51,1.51,2.64,2.64,0.378
argentine,mismatch,declarative-broad-focus,El hombre mira la luna,7,0,1.18,1.18,5.93,5.93,0.169
argentine,mismatch,declarative-broad-focus,El nino oye el rio,5,0,1.56,1.56,3.21,3.21,0.311
argentine,mismatch,declarative-broad-focus,La maestra vive en Paris,6,0,1.43,1.43,4.19,4.19,0.239
argentine,mismatch,declarative-broad-focus,La nina lava el plato,4,0,1.26,1.26,3.18,3.18,0.314
argentine,mismatch,declarative-broad-focus,Mi madre come la fruta,6,0,1.52,1.52,3.95,3.95,0.253
argentine,mismatch,declarative-broad-focus,Mi novio viene del lago,5,0,1.68,1.68,2.98,2.98,0.336
argentine,mismatch,declarative-broad-focus,Mi tia odia la lluvia,6,0,1.63,1.63,3.69,3.69,0.271
argentine,mismatch,declarative-narrow-focus,El bebe comia muy bien,3,0,1.2,1.2,2.5,2.5,0.401
argentine,mismatch,declarative-narrow-focus,El hombre mira la luna,6,0,1.14,1.14,5.27,5.27,0.19
argentine,mismatch,declarative-narrow-focus,El nino oye el rio,2,0,1.35,1.35,1.48,1.48,0.675
argentine,mismatch,declarative-narrow-focus,La maestra vive en Paris,5,0,1.32,1.32,3.78,3.78,0.265
argentine,mismatch,declarative-narrow-focus,La nina lava el plato,5,0,1.26,1.26,3.98,3.98,0.251
argentine,mismatch,declarative-narrow-focus,Mi madre come la fruta,7,0,1.41,1.41,4.98,4.98,0.201
argentine,mismatch,declarative-narrow-focus,Mi novio viene del lago,4,0,1.3,1.3,3.07,3.07,0.325
argentine,mismatch,declarative-narrow-focus,Mi tia odia la lluvia,5,0,1.28,1.28,3.91,3.91,0.256
argentine,mismatch,interrogative-partial-wh,Cuando comia la fruta,6,0,1.32,1.32,4.54,4.54,0.22
argentine,mismatch,interrogative-partial-wh,Cuando lavaba el plato,4,0,1.22,1.22,3.28,3.28,0.305
argentine,mismatch,interrogative-partial-wh,Cuando miraba la luna,6,0,1.17,1.17,5.13,5.13,0.195
argentine,mismatch,interrogative-partial-wh,Por que desayuna muy bien,4,0,1.34,1.34,2.97,2.97,0.336
argentine,mismatch,interrogative-partial-wh,Por que odiaba la lluvia,3,0,1.31,1.31,2.29,2.29,0.437
argentine,mismatch,interrogative-partial-wh,Por que oia el rio,3,0,1.2,1.2,2.51,2.51,0.399
argentine,mismatch,interrogative-partial-wh,Por que venia del lago,4,0,1.15,1.15,3.49,3.49,0.287
argentine,mismatch,interrogative-partial-wh,Por que vivia en Paris,6,0,1.22,1.22,4.92,4.92,0.203
argentine,mismatch,interrogative-total-yn,El bebe comia muy bien,3,0,1.29,1.29,2.33,2.33,0.43
argentine,mismatch,interrogative-total-yn,El hombre mira la luna,5,0,1.2,1.2,4.18,4.18,0.239
argentine,mismatch,interrogative-total-yn,El nino oye el rio,2,0,1.19,1.19,1.68,1.68,0.595
argentine,mismatch,interrogative-total-yn,La maestra vive en Paris,6,0,1.56,1.56,3.85,3.85,0.26
argentine,mismatch,interrogative-total-yn,La nina lava el plato,4,0,1.39,1.39,2.87,2.87,0.349
argentine,mismatch,interrogative-total-yn,Mi madre come la fruta,7,0,1.5,1.5,4.65,4.65,0.215
argentine,mismatch,interrogative-total-yn,Mi novio viene del lago,4,0,1.5,1.5,2.67,2.67,0.375
argentine,mismatch,interrogative-total-yn,Mi tia odia la lluvia,4,0,1.43,1.43,2.8,2.8,0.357
castilian,match,declarative-broad-focus,Ana lleva el abrigo,6,0,1.26,1.26,4.76,4.76,0.21
castilian,match,declarative-broad-focus,Daniel iba a Bolivia,6,0,1.46,1.46,4.11,4.11,0.243
castilian,match,declarative-broad-focus,David leia el libro,7,0,1.48,1.48,4.72,4.72,0.212
castilian,match,declarative-broad-focus,Emilio ama la marcha,4,0,1.4,1.4,2.85,2.85,0.351
castilian,match,declarative-broad-focus,Manuela vende el carro,4,0,1.53,1.53,2.61,2.61,0.383
castilian,match,declarative-broad-focus,Maria bebe el vino,6,0,1.36,1.36,4.41,4.41,0.227
castilian,match,declarative-broad-focus,Mariano habla del tiempo,7,0,1.61,1.61,4.35,4.35,0.23
castilian,match,declarative-broad-focus,Marta abre el regalo,5,0,1.4,1.4,3.57,3.57,0.28
castilian,match,declarative-narrow-focus,Ana lleva el abrigo,5,0,1.22,1.22,4.1,4.1,0.244
castilian,match,declarative-narrow-focus,Daniel iba a Bolivia,6,0,1.5,1.5,4.01,4.01,0.249
castilian,match,declarative-narrow-focus,David leia el libro,5,0,1.34,1.34,3.72,3.72,0.269
castilian,match,declarative-narrow-focus,Emilio ama la marcha,4,0,1.36,1.36,2.94,2.94,0.341
castilian,match,declarative-narrow-focus,Manuela vende el carro,6,0,1.44,1.44,4.16,4.16,0.241
castilian,match,declarative-narrow-focus,Maria bebe el vino,3,0,1.31,1.31,2.29,2.29,0.438
castilian,match,declarative-narrow-focus,Mariano habla del tiempo,6,0,1.56,1.56,3.85,3.85,0.26
castilian,match,declarative-narrow-focus,Marta abre el regalo,6,0,1.4,1.4,4.28,4.28,0.234
castilian,match,interrogative-partial-wh,Cuando bebia el vino,5,0,1.33,1.33,3.75,3.75,0.266
castilian,match,interrogative-partial-wh,Cuando leia el libro,6,0,1.38,1.38,4.35,4.35,0.23
castilian,match,interrogative-partial-wh,Cuando lleva el abrigo,6,0,1.28,1.28,4.67,4.67,0.214
castilian,match,interrogative-partial-wh,Cuando vendia el carro,5,0,1.36,1.36,3.67,3.67,0.272
castilian,match,interrogative-partial-wh,Por que abre el regalo,6,0,1.39,1.39,4.32,4.32,0.231
castilian,match,interrogative-partial-wh,Por que ama la navidad,6,0,1.3,1.3,4.63,4.63,0.216
castilian,match,interrogative-partial-wh,Por que hablaba del agua,6,0,1.46,1.46,4.11,4.11,0.243
castilian,match,interrogative-partial-wh,Por que iba a Bolivia,6,0,1.45,1.45,4.14,4.14,0.241
castilian,match,interrogative-total-yn,Ana lleva el abrigo,5,0,1.27,1.27,3.95,3.95,0.253
castilian,match,interrogative-total-yn,Daniel iba a Bolivia,5,0,1.29,1.29,3.89,3.89,0.257
castilian,match,interrogative-total-yn,David leia el libro,5,0,1.43,1.43,3.5,3.5,0.285
castilian,match,interrogative-total-yn,Emilio ama la marcha,7,0,1.44,1.44,4.85,4.85,0.206
castilian,match,interrogative-total-yn,Manuela vende el carro,5,0,1.49,1.49,3.36,3.36,0.298
castilian,match,interrogative-total-yn,Maria bebe el vino,4,0,1.31,1.31,3.05,3.05,0.328
castilian,match,interrogative-total-yn,Mariano habla del tiempo,6,0,1.58,1.58,3.81,3.81,0.263
castilian,match,interrogative-total-yn,Marta abre el regalo,5,0,1.44,1.44,3.48,3.48,0.287
castilian,mismatch,declarative-broad-focus,El bebe comia muy bien,5,0,1.6,1.6,3.13,3.13,0.32
castilian,mismatch,declarative-broad-focus,El hombre mira la luna,6,0,1.37,1.37,4.4,4.4,0.228
castilian,mismatch,declarative-broad-focus,El nino oye el rio,4,0,1.41,1.41,2.84,2.84,0.352
castilian,mismatch,declarative-broad-focus,La maestra vive en Paris,8,0,1.6,1.6,5.01,5.01,0.2
castilian,mismatch,declarative-broad-focus,La nina lava el plato,5,0,1.47,1.47,3.41,3.41,0.293
castilian,mismatch,declarative-broad-focus,Mi madre come la fruta,7,0,1.49,1.49,4.7,4.7,0.213
castilian,mismatch,declarative-broad-focus,Mi novio viene del lago,6,0,1.51,1.51,3.96,3.96,0.252
castilian,mismatch,declarative-broad-focus,Mi tia odia la lluvia,5,0,1.3,1.3,3.83,3.83,0.261
